######################################################################
#
# LoggerIdentifier    : 1858001C
# Comment             : 
# StartBatteryVoltage :      2953 mV
# EndBatteryVoltage   :      2933 mV
# TotalSampleCount    :    266826
# ResistanceOffset    :     11899.26821
# ResistanceScale     :     90961.56387
# TemperatureOffset   :         0.0009397284
# TemperatureLinear   :         0.0002205166
# TemperatureCubic    :         0.0000001287
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2005 10 18 16 00 01    23943    34236.188       21.950
2005 10 18 16 00 02    23962    34261.172       21.933
2005 10 18 16 00 03    23984    34290.114       21.914
2005 10 18 16 00 04    24004    34316.436       21.896
2005 10 18 16 00 05    24023    34341.453       21.880
2005 10 18 16 00 06    24040    34363.845       21.865
2005 10 18 16 00 07    24058    34387.562       21.849
2005 10 18 16 00 08    24075    34409.970       21.834
2005 10 18 16 00 09    24090    34429.749       21.821
2005 10 18 16 00 10    24108    34453.491       21.805
2005 10 18 16 00 11    24130    34482.522       21.786
2005 10 18 16 00 12    24154    34514.207       21.765
2005 10 18 16 00 13    24176    34543.266       21.746
2005 10 18 16 00 14    24197    34571.016       21.727
2005 10 18 16 00 15    24216    34596.135       21.711
2005 10 18 16 00 16    24233    34618.617       21.696
2005 10 18 16 00 17    24248    34638.462       21.683
2005 10 18 16 00 18    24262    34656.989       21.671
2005 10 18 16 00 19    24275    34674.197       21.659
2005 10 18 16 00 20    24290    34694.059       21.646
2005 10 18 16 00 21    24304    34712.603       21.634
2005 10 18 16 00 22    24320    34733.802       21.620
2005 10 18 16 00 23    24338    34757.660       21.604
2005 10 18 16 00 24    24358    34784.179       21.587
2005 10 18 16 00 25    24381    34814.690       21.567
2005 10 18 16 00 26    24403    34843.888       21.548
2005 10 18 16 00 27    24425    34873.100       21.529
2005 10 18 16 00 28    24449    34904.983       21.508
2005 10 18 16 00 29    24472    34935.552       21.488
2005 10 18 16 00 30    24497    34968.797       21.466
2005 10 18 16 00 31    24520    34999.398       21.446
2005 10 18 16 00 32    24544    35031.344       21.425
2005 10 18 16 00 33    24570    35065.972       21.403
2005 10 18 16 00 34    24598    35103.284       21.379
2005 10 18 16 00 35    24630    35145.954       21.351
2005 10 18 16 00 36    24660    35185.983       21.325
2005 10 18 16 00 37    24687    35222.031       21.302
2005 10 18 16 00 38    24716    35260.772       21.277
2005 10 18 16 00 39    24746    35300.874       21.251
2005 10 18 16 00 40    24775    35339.664       21.226
2005 10 18 16 00 41    24800    35373.123       21.204
2005 10 18 16 00 42    24823    35403.920       21.184
2005 10 18 16 00 43    24844    35432.052       21.166
2005 10 18 16 00 44    24864    35458.857       21.149
2005 10 18 16 00 45    24882    35482.991       21.134
2005 10 18 16 00 46    24900    35507.134       21.118
2005 10 18 16 00 47    24918    35531.286       21.103
2005 10 18 16 00 48    24936    35555.447       21.087
2005 10 18 16 00 49    24957    35583.647       21.069
2005 10 18 16 00 50    24977    35610.516       21.052
2005 10 18 16 00 51    24994    35633.364       21.037
2005 10 18 16 00 52    25008    35652.186       21.025
2005 10 18 16 00 53    25020    35668.323       21.015
2005 10 18 16 00 54    25029    35680.429       21.007
2005 10 18 16 00 55    25037    35691.191       21.000
2005 10 18 16 00 56    25045    35701.956       20.994
2005 10 18 16 00 57    25051    35710.030       20.988
2005 10 18 16 00 58    25056    35716.760       20.984
2005 10 18 16 00 59    25060    35722.144       20.981
2005 10 18 16 01 00    25063    35726.182       20.978
2005 10 18 16 01 01    25067    35731.567       20.975
2005 10 18 16 01 02    25071    35736.953       20.971
2005 10 18 16 01 03    25076    35743.685       20.967
2005 10 18 16 01 04    25078    35746.378       20.965
2005 10 18 16 01 05    25081    35750.418       20.963
2005 10 18 16 01 06    25085    35755.805       20.959
2005 10 18 16 01 07    25089    35761.193       20.956
2005 10 18 16 01 08    25093    35766.581       20.952
2005 10 18 16 01 09    25096    35770.622       20.950
2005 10 18 16 01 10    25100    35776.011       20.946
2005 10 18 16 01 11    25103    35780.053       20.944
2005 10 18 16 01 12    25109    35788.137       20.939
2005 10 18 16 01 13    25113    35793.527       20.935
2005 10 18 16 01 14    25118    35800.266       20.931
2005 10 18 16 01 15    25123    35807.005       20.927
2005 10 18 16 01 16    25128    35813.745       20.922
2005 10 18 16 01 17    25132    35819.137       20.919
2005 10 18 16 01 18    25137    35825.879       20.915
2005 10 18 16 01 19    25142    35832.620       20.910
2005 10 18 16 01 20    25147    35839.363       20.906
2005 10 18 16 01 21    25152    35846.106       20.902
2005 10 18 16 01 22    25157    35852.850       20.898
2005 10 18 16 01 23    25161    35858.246       20.894
2005 10 18 16 01 24    25166    35864.991       20.890
2005 10 18 16 01 25    25173    35874.436       20.884
