 ACQUISITION DATE:,,, 11/19/09 
 CF-2 SERIAL NUMBER:,,, 7448
 PROGRAM VERSION:,,, V1.2E
 LAST CALIBRATION DATE:,,, 10/20/2008
 FILE REFERENCE:,,, 1351b
 PRESSURE TRANSDUCER S/N:,,, 000
 Electronics S/N and Thermistor S/N:,,,CDAQ01-10T03
 Board Temperature at time of Calibration:,,,28C degrees


 GMT TIME          , Tip Temp,  Tip R  , Brd Temp, Batt Volts,   Pressure,       GMT Time  , X  , Y , Z
 mm/dd/yy HH:MM:SS  , deg C ,   Ohms ,     deg C ,   Volts ,      PSI,       mm/dd/yy HH:MM:SS  , g  , g , g
11/19/09 13:07:44.04,  20.613, 12145.62,   21.9,     7.3,                      ,11/19/09 13:07:43.12, 0.01, 0.27, -0.97
11/19/09 13:07:45.04,  20.612, 12145.77,   21.9,     7.3,                      ,11/19/09 13:07:43.22, 0.01, 0.27, -0.97
11/19/09 13:07:46.04,  20.612, 12145.91,   21.9,     7.3,                      ,11/19/09 13:07:43.32, 0.01, 0.27, -0.97
11/19/09 13:07:47.04,  20.612, 12146.19,   21.9,     7.3,                      ,11/19/09 13:07:43.42, 0.01, 0.27, -0.97
11/19/09 13:07:48.04,  20.611, 12146.45,   21.9,     7.3,                      ,11/19/09 13:07:43.52, 0.01, 0.27, -0.97
11/19/09 13:07:49.04,  20.611, 12146.79,   21.9,     7.3,                      ,11/19/09 13:07:43.62, 0.02, 0.27, -0.97
11/19/09 13:07:50.04,  20.610, 12147.21,   21.9,     7.3,                      ,11/19/09 13:07:43.72, 0.02, 0.27, -0.97
11/19/09 13:07:51.04,  20.609, 12147.52,   21.9,     7.3,                      ,11/19/09 13:07:43.82, 0.02, 0.27, -0.97
11/19/09 13:07:52.04,  20.608, 12147.92,   21.9,     7.3,                      ,11/19/09 13:07:43.92, 0.02, 0.27, -0.97
11/19/09 13:07:53.04,  20.608, 12148.22,   21.9,     7.3,                      ,11/19/09 13:07:44.02, 0.02, 0.27, -0.97
11/19/09 13:07:54.04,  20.607, 12148.55,   21.9,     7.3,                      ,11/19/09 13:07:44.12, 0.02, 0.27, -0.97
11/19/09 13:07:55.04,  20.607, 12148.76,   21.9,     7.3,                      ,11/19/09 13:07:44.22, 0.02, 0.27, -0.97
11/19/09 13:07:56.04,  20.606, 12149.03,   21.9,     7.3,                      ,11/19/09 13:07:44.32, 0.02, 0.27, -0.97
11/19/09 13:07:57.04,  20.606, 12149.25,   21.9,     7.3,                      ,11/19/09 13:07:44.42, 0.02, 0.27, -0.97
11/19/09 13:07:58.04,  20.605, 12149.54,   21.9,     7.3,                      ,11/19/09 13:07:44.52, 0.02, 0.27, -0.97
11/19/09 13:07:59.04,  20.605, 12149.66,   21.9,     7.3,                      ,11/19/09 13:07:44.62, 0.02, 0.27, -0.96
11/19/09 13:08:00.04,  20.605, 12149.95,   21.9,     7.3,                      ,11/19/09 13:07:44.72, 0.02, 0.27, -0.96
11/19/09 13:08:01.04,  20.604, 12150.19,   21.9,     7.3,                      ,11/19/09 13:07:44.82, 0.02, 0.27, -0.96
11/19/09 13:08:02.04,  20.604, 12150.46,   21.9,     7.3,                      ,11/19/09 13:07:44.92, 0.02, 0.27, -0.96
11/19/09 13:08:03.04,  20.603, 12150.71,   21.9,     7.3,                      ,11/19/09 13:07:45.02, 0.02, 0.27, -0.96
11/19/09 13:08:04.04,  20.603, 12150.92,   21.9,     7.3,                      ,11/19/09 13:07:45.12, 0.02, 0.27, -0.96
11/19/09 13:08:05.04,  20.602, 12151.19,   21.9,     7.3,                      ,11/19/09 13:07:45.22, 0.01, 0.27, -0.96
11/19/09 13:08:06.04,  20.602, 12151.47,   21.9,     7.3,                      ,11/19/09 13:07:45.32, 0.01, 0.27, -0.96
11/19/09 13:08:07.04,  20.601, 12151.76,   21.9,     7.3,                      ,11/19/09 13:07:45.42, 0.01, 0.27, -0.96
11/19/09 13:08:08.04,  20.601, 12152.21,   21.9,     7.3,                      ,11/19/09 13:07:45.52, 0.01, 0.27, -0.96
11/19/09 13:08:09.04,  20.600, 12152.66,   22.0,     7.3,                      ,11/19/09 13:07:45.62, 0.01, 0.27, -0.96
11/19/09 13:08:10.04,  20.599, 12152.98,   22.0,     7.3,                      ,11/19/09 13:07:45.72, 0.01, 0.27, -0.96
11/19/09 13:08:11.04,  20.598, 12153.42,   22.0,     7.3,                      ,11/19/09 13:07:45.82, 0.01, 0.27, -0.96
11/19/09 13:08:12.04,  20.598, 12153.83,   22.0,     7.3,                      ,11/19/09 13:07:45.92, 0.01, 0.27, -0.96
11/19/09 13:08:13.04,  20.597, 12154.19,   22.0,     7.3,                      ,11/19/09 13:07:46.02, 0.01, 0.27, -0.96
11/19/09 13:08:14.04,  20.596, 12154.67,   22.0,     7.3,                      ,11/19/09 13:07:46.12, 0.01, 0.27, -0.96
11/19/09 13:08:15.04,  20.595, 12155.05,   22.0,     7.3,                      ,11/19/09 13:07:46.22, 0.01, 0.27, -0.96
11/19/09 13:08:16.04,  20.595, 12155.49,   22.0,     7.3,                      ,11/19/09 13:07:46.32, 0.01, 0.27, -0.96
