######################################################################
#
# LoggerIdentifier    : 1854540C
# Comment             : 
# PC Time             : 22 January 2015 , 13:51:59
# Logger Time         : 22 January 2015 , 13:51:56
# StartBatteryVoltage :      2889 mV
# EndBatteryVoltage   :      2890 mV
# TotalSampleCount    :     62143
# ResistanceOffset    :     11910.84759
# ResistanceScale     :     90885.03517
# TemperatureOffset   :         0.0010743547
# TemperatureLinear   :         0.0002113377
# TemperatureCubic    :         0.0000000922
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2015 01 22 10 46 01    23770    33995.701       22.343
2015 01 22 10 46 02    23771    33997.010       22.342
2015 01 22 10 46 03    23769    33994.392       22.343
2015 01 22 10 46 04    23770    33995.701       22.343
2015 01 22 10 46 05    23770    33995.701       22.343
2015 01 22 10 46 06    23771    33997.010       22.342
2015 01 22 10 46 07    23770    33995.701       22.343
2015 01 22 10 46 08    23770    33995.701       22.343
2015 01 22 10 46 09    23771    33997.010       22.342
2015 01 22 10 46 10    23770    33995.701       22.343
2015 01 22 10 46 11    23770    33995.701       22.343
2015 01 22 10 46 12    23770    33995.701       22.343
2015 01 22 10 46 13    23770    33995.701       22.343
2015 01 22 10 46 14    23771    33997.010       22.342
2015 01 22 10 46 15    23770    33995.701       22.343
2015 01 22 10 46 16    23770    33995.701       22.343
2015 01 22 10 46 17    23770    33995.701       22.343
2015 01 22 10 46 18    23771    33997.010       22.342
2015 01 22 10 46 19    23770    33995.701       22.343
2015 01 22 10 46 20    23771    33997.010       22.342
2015 01 22 10 46 21    23770    33995.701       22.343
2015 01 22 10 46 22    23771    33997.010       22.342
2015 01 22 10 46 23    23771    33997.010       22.342
2015 01 22 10 46 24    23771    33997.010       22.342
2015 01 22 10 46 25    23771    33997.010       22.342
2015 01 22 10 46 26    23771    33997.010       22.342
2015 01 22 10 46 27    23771    33997.010       22.342
2015 01 22 10 46 28    23771    33997.010       22.342
2015 01 22 10 46 29    23772    33998.319       22.341
2015 01 22 10 46 30    23771    33997.010       22.342
2015 01 22 10 46 31    23772    33998.319       22.341
2015 01 22 10 46 32    23772    33998.319       22.341
2015 01 22 10 46 33    23772    33998.319       22.341
2015 01 22 10 46 34    23772    33998.319       22.341
2015 01 22 10 46 35    23772    33998.319       22.341
2015 01 22 10 46 36    23771    33997.010       22.342
2015 01 22 10 46 37    23772    33998.319       22.341
2015 01 22 10 46 38    23771    33997.010       22.342
2015 01 22 10 46 39    23771    33997.010       22.342
2015 01 22 10 46 40    23771    33997.010       22.342
2015 01 22 10 46 41    23772    33998.319       22.341
2015 01 22 10 46 42    23771    33997.010       22.342
2015 01 22 10 46 43    23770    33995.701       22.343
2015 01 22 10 46 44    23771    33997.010       22.342
2015 01 22 10 46 45    23771    33997.010       22.342
2015 01 22 10 46 46    23770    33995.701       22.343
2015 01 22 10 46 47    23771    33997.010       22.342
2015 01 22 10 46 48    23770    33995.701       22.343
2015 01 22 10 46 49    23770    33995.701       22.343
2015 01 22 10 46 50    23770    33995.701       22.343
2015 01 22 10 46 51    23770    33995.701       22.343
2015 01 22 10 46 52    23769    33994.392       22.343
2015 01 22 10 46 53    23770    33995.701       22.343
2015 01 22 10 46 54    23770    33995.701       22.343
2015 01 22 10 46 55    23770    33995.701       22.343
2015 01 22 10 46 56    23769    33994.392       22.343
2015 01 22 10 46 57    23769    33994.392       22.343
2015 01 22 10 46 58    23770    33995.701       22.343
2015 01 22 10 46 59    23768    33993.083       22.344
2015 01 22 10 47 00    23769    33994.392       22.343
2015 01 22 10 47 01    23768    33993.083       22.344
2015 01 22 10 47 02    23768    33993.083       22.344
2015 01 22 10 47 03    23768    33993.083       22.344
2015 01 22 10 47 04    23768    33993.083       22.344
2015 01 22 10 47 05    23767    33991.774       22.345
2015 01 22 10 47 06    23768    33993.083       22.344
2015 01 22 10 47 07    23767    33991.774       22.345
2015 01 22 10 47 08    23767    33991.774       22.345
2015 01 22 10 47 09    23767    33991.774       22.345
2015 01 22 10 47 10    23768    33993.083       22.344
2015 01 22 10 47 11    23767    33991.774       22.345
2015 01 22 10 47 12    23767    33991.774       22.345
2015 01 22 10 47 13    23766    33990.464       22.346
2015 01 22 10 47 14    23766    33990.464       22.346
2015 01 22 10 47 15    23766    33990.464       22.346
2015 01 22 10 47 16    23767    33991.774       22.345
2015 01 22 10 47 17    23767    33991.774       22.345
2015 01 22 10 47 18    23766    33990.464       22.346
2015 01 22 10 47 19    23766    33990.464       22.346
2015 01 22 10 47 20    23766    33990.464       22.346
2015 01 22 10 47 21    23766    33990.464       22.346
2015 01 22 10 47 22    23766    33990.464       22.346
2015 01 22 10 47 23    23766    33990.464       22.346
2015 01 22 10 47 24    23765    33989.155       22.347
2015 01 22 10 47 25    23765    33989.155       22.347
2015 01 22 10 47 26    23766    33990.464       22.346
2015 01 22 10 47 27    23766    33990.464       22.346
2015 01 22 10 47 28    23766    33990.464       22.346
2015 01 22 10 47 29    23765    33989.155       22.347
2015 01 22 10 47 30    23766    33990.464       22.346
2015 01 22 10 47 31    23766    33990.464       22.346
2015 01 22 10 47 32    23766    33990.464       22.346
2015 01 22 10 47 33    23766    33990.464       22.346
2015 01 22 10 47 34    23765    33989.155       22.347
2015 01 22 10 47 35    23766    33990.464       22.346
2015 01 22 10 47 36    23765    33989.155       22.347
2015 01 22 10 47 37    23766    33990.464       22.346
2015 01 22 10 47 38    23766    33990.464       22.346
2015 01 22 10 47 39    23766    33990.464       22.346
2015 01 22 10 47 40    23765    33989.155       22.347
2015 01 22 10 47 41    23765    33989.155       22.347
2015 01 22 10 47 42    23765    33989.155       22.347
2015 01 22 10 47 43    23766    33990.464       22.346
2015 01 22 10 47 44    23766    33990.464       22.346
2015 01 22 10 47 45    23765    33989.155       22.347
2015 01 22 10 47 46    23766    33990.464       22.346
2015 01 22 10 47 47    23765    33989.155       22.347
2015 01 22 10 47 48    23765    33989.155       22.347
2015 01 22 10 47 49    23766    33990.464       22.346
2015 01 22 10 47 50    23765    33989.155       22.347
2015 01 22 10 47 51    23765    33989.155       22.347
2015 01 22 10 47 52    23765    33989.155       22.347
2015 01 22 10 47 53    23765    33989.155       22.347
2015 01 22 10 47 54    23765    33989.155       22.347
2015 01 22 10 47 55    23765    33989.155       22.347
2015 01 22 10 47 56    23765    33989.155       22.347
2015 01 22 10 47 57    23766    33990.464       22.346
2015 01 22 10 47 58    23766    33990.464       22.346
2015 01 22 10 47 59    23766    33990.464       22.346
2015 01 22 10 48 00    23766    33990.464       22.346
2015 01 22 10 48 01    23766    33990.464       22.346
2015 01 22 10 48 02    23766    33990.464       22.346
2015 01 22 10 48 03    23766    33990.464       22.346
2015 01 22 10 48 04    23767    33991.774       22.345
2015 01 22 10 48 05    23767    33991.774       22.345
2015 01 22 10 48 06    23767    33991.774       22.345
2015 01 22 10 48 07    23767    33991.774       22.345
2015 01 22 10 48 08    23767    33991.774       22.345
2015 01 22 10 48 09    23767    33991.774       22.345
2015 01 22 10 48 10    23767    33991.774       22.345
2015 01 22 10 48 11    23768    33993.083       22.344
2015 01 22 10 48 12    23767    33991.774       22.345
2015 01 22 10 48 13    23767    33991.774       22.345
2015 01 22 10 48 14    23767    33991.774       22.345
2015 01 22 10 48 15    23767    33991.774       22.345
2015 01 22 10 48 16    23767    33991.774       22.345
