 ACQUISITION DATE:,,, 04/12/11 
 CF-2 SERIAL NUMBER:,,, 9311
 PROGRAM VERSION:,,, V1.21E
 CALIBRATION Alert DATE:,,, October 2010
 FILE REFERENCE:,,, 1381b-41
 PRESSURE TRANSDUCER S/N:,,, 117518
 Electronics S/N and Thermistor S/N:,,,CDAQ10-10T14
 Board Temperature at time of Calibration:,,,26C degrees


       GMT Time  ,          Tip Temp,  Tip R  , Brd Temp, Batt Volts,   Pressure,       GMT Time  ,          X  ,  Y ,   Z
      mm/dd/yy HH:MM:SS  ,   deg C ,   Ohms ,     deg C ,   Volts ,      PSI,         mm/dd/yy HH:MM:SS  ,   g  ,  g ,   g
      04/12/11 13:44:16.04,  21.887, 10865.54,   25.7,     6.9,         15.30,      04/12/11 13:44:15.82, 0.01, 0.16, -1.00
      04/12/11 13:44:17.04,  21.887, 10865.71,   25.7,     6.9,         15.30,      04/12/11 13:44:15.92, 0.02, 0.16, -1.00
      04/12/11 13:44:18.04,  21.887, 10865.83,   25.7,     6.9,         15.30,      04/12/11 13:44:16.02, 0.02, 0.16, -1.00
      04/12/11 13:44:19.04,  21.887, 10865.95,   25.7,     6.9,         15.30,      04/12/11 13:44:16.12, 0.02, 0.16, -1.00
      04/12/11 13:44:20.04,  21.886, 10866.11,   25.7,     6.9,         15.30,      04/12/11 13:44:16.22, 0.01, 0.16, -1.00
      04/12/11 13:44:21.04,  21.886, 10866.26,   25.7,     6.9,         15.30,      04/12/11 13:44:16.32, 0.02, 0.16, -1.00
      04/12/11 13:44:22.04,  21.886, 10866.38,   25.7,     6.9,         15.30,      04/12/11 13:44:16.42, 0.02, 0.16, -1.00
      04/12/11 13:44:23.04,  21.885, 10866.51,   25.7,     6.9,         15.28,      04/12/11 13:44:16.52, 0.02, 0.16, -1.00
      04/12/11 13:44:24.04,  21.885, 10866.65,   25.7,     6.9,         15.28,      04/12/11 13:44:16.62, 0.02, 0.16, -1.00
      04/12/11 13:44:25.04,  21.885, 10866.56,   25.7,     6.9,         15.30,      04/12/11 13:44:16.72, 0.02, 0.16, -1.00
      04/12/11 13:44:26.04,  21.885, 10866.72,   25.7,     6.9,         15.31,      04/12/11 13:44:16.82, 0.02, 0.16, -1.00
      04/12/11 13:44:27.04,  21.885, 10866.74,   25.7,     6.9,         15.30,      04/12/11 13:44:16.92, 0.02, 0.16, -1.00
      04/12/11 13:44:28.04,  21.884, 10866.84,   25.7,     6.9,         15.30,      04/12/11 13:44:17.02, 0.02, 0.16, -1.00
      04/12/11 13:44:29.04,  21.884, 10866.96,   25.7,     6.9,         15.30,      04/12/11 13:44:17.12, 0.02, 0.16, -1.00
      04/12/11 13:44:30.04,  21.884, 10866.99,   25.7,     6.9,         15.31,      04/12/11 13:44:17.22, 0.02, 0.16, -1.00
      04/12/11 13:44:31.04,  21.884, 10867.13,   25.7,     6.9,         15.30,      04/12/11 13:44:17.32, 0.02, 0.16, -1.00
      04/12/11 13:44:32.04,  21.883, 10867.39,   25.7,     6.9,         15.30,      04/12/11 13:44:17.42, 0.02, 0.16, -1.00
      04/12/11 13:44:33.04,  21.882, 10867.74,   25.7,     6.9,         15.28,      04/12/11 13:44:17.52, 0.02, 0.16, -1.00
      04/12/11 13:44:34.04,  21.882, 10868.13,   25.7,     6.9,         15.28,      04/12/11 13:44:17.62, 0.02, 0.16, -1.00
      04/12/11 13:44:35.04,  21.881, 10868.30,   25.7,     6.9,         15.30,      04/12/11 13:44:17.72, 0.02, 0.16, -1.00
      04/12/11 13:44:36.04,  21.880, 10868.64,   25.7,     6.9,         15.31,      04/12/11 13:44:17.82, 0.02, 0.16, -1.00
      04/12/11 13:44:37.04,  21.879, 10869.13,   25.7,     6.9,         15.30,      04/12/11 13:44:17.92, 0.02, 0.16, -1.00
      04/12/11 13:44:38.04,  21.879, 10869.01,   25.7,     6.9,         15.30,      04/12/11 13:44:18.02, 0.02, 0.16, -1.00
      04/12/11 13:44:39.04,  21.879, 10869.09,   25.7,     6.9,         15.31,      04/12/11 13:44:18.12, 0.02, 0.16, -1.00
