" **** Processed with calibration values from 4/93 and 5/95 WHOI testing ****"
" **** Adara Temperature Tool Data File Version 3.0 ****"                       
"      Serial Number:       11"                                                 
"   Calibration Date: 10:09:1991"                                               
" Download Reference: 01:04:04:58"                                              
" Start Logging Time: Mon Jun 24 04:05:00 1996"                                 
"    Data Uploaded @: Mon Jun 24 05:39:22 1996"                                 
"         Cruise Leg: 168     "                                                 
"      Cruise Subleg: 0       "                                                 
"               Site: 1023    "                                                 
"               Hole: A       "                                                 
"               Core: 08h     "                                                 
"         Run number: 00      "                                                 
"    Subbottom depth: 74.8    "                                                 
"        Event count:  2"                                                       
                                                                                
"   Event Number: 01"                                                           
"     Start time: 01:04:05:28"                                                  
"      Stop time: 01:04:05:58"                                                  
" Increment time: 00:00:00:05"                                                  
"   Number Scans: 0006"                                                         
                                                                                
     1,    17.117
     2,    17.117
     3,    17.125
     4,    17.125
     5,    17.117
     6,    17.117
                                                                                
"   Event Number: 02"                                                           
"     Start time: 01:04:14:58"                                                  
"      Stop time: 01:07:14:58"                                                  
" Increment time: 00:00:00:05"                                                  
"   Number Scans: 1012"                                                         
                                                                                
     7,    12.595
     8,    12.610
     9,    12.610
    10,    12.610
    11,    12.610
    12,    12.610
    13,    12.626
    14,    12.618
    15,    12.618
    16,    12.626
    17,    12.634
    18,    12.641
    19,    12.641
    20,    12.649
    21,    12.634
    22,    12.641
    23,    12.641
    24,    12.634
    25,    12.634
    26,    12.634
    27,    12.634
    28,    12.634
    29,    12.626
    30,    12.626
    31,    12.626
    32,    12.626
    33,    12.626
    34,    12.634
    35,    12.634
    36,    12.634
    37,    12.626
    38,    12.634
    39,    12.634
    40,    12.641
    41,    12.634
    42,    12.634
    43,    12.634
    44,    12.634
    45,    12.641
    46,    12.626
    47,    12.634
    48,    12.626
    49,    12.618
    50,    12.618
    51,    12.610
    52,    12.602
    53,    12.595
    54,    12.595
    55,    12.580
    56,    12.588
    57,    12.588
    58,    12.602
    59,    12.618
    60,    12.641
    61,    12.657
    62,    12.687
    63,    12.711
    64,    12.734
    65,    12.756
    66,    12.764
    67,    12.795
    68,    12.811
    69,    12.826
    70,    12.841
    71,    12.849
    72,    12.865
    73,    12.865
    74,    12.872
    75,    12.880
    76,    12.888
    77,    12.895
    78,    12.903
    79,    12.895
    80,    12.918
    81,    12.934
    82,    12.826
    83,    12.742
    84,    12.718
    85,    12.718
    86,    12.711
    87,    12.687
    88,    12.703
    89,    12.726
    90,    12.742
    91,    12.742
    92,    12.756
    93,    12.795
    94,    12.772
    95,    12.665
    96,    12.518
    97,    12.333
    98,    12.156
    99,    11.972
   100,    11.725
   101,    11.486
   102,    11.247
   103,    11.015
   104,    10.869
   105,    10.754
   106,    10.638
   107,    10.492
   108,    10.283
   109,    10.021
   110,     9.705
   111,     9.358
   112,     8.987
   113,     8.664
   114,     8.370
   115,     8.122
   116,     7.907
   117,     7.714
   118,     7.536
   119,     7.374
   120,     7.226
   121,     7.080
   122,     6.941
   123,     6.817
   124,     6.694
   125,     6.586
   126,     6.470
   127,     6.354
   128,     6.246
   129,     6.145
   130,     6.037
   131,     5.936
   132,     5.836
   133,     5.750
   134,     5.650
   135,     5.565
   136,     5.480
   137,     5.403
   138,     5.325
   139,     5.256
   140,     5.171
   141,     5.109
   142,     5.047
   143,     4.985
   144,     4.923
   145,     4.877
   146,     4.823
   147,     4.768
   148,     4.715
   149,     4.660
   150,     4.613
   151,     4.568
   152,     4.521
   153,     4.483
   154,     4.436
   155,     4.397
   156,     4.359
   157,     4.312
   158,     4.273
   159,     4.235
   160,     4.196
   161,     4.165
   162,     4.126
   163,     4.088
   164,     4.049
   165,     4.018
   166,     3.980
   167,     3.956
   168,     3.909
   169,     3.894
   170,     3.856
   171,     3.825
   172,     3.801
   173,     3.762
   174,     3.748
   175,     3.709
   176,     3.685
   177,     3.662
   178,     3.623
   179,     3.608
   180,     3.577
   181,     3.546
   182,     3.522
   183,     3.492
   184,     3.469
   185,     3.445
   186,     3.422
   187,     3.391
   188,     3.375
   189,     3.353
   190,     3.321
   191,     3.298
   192,     3.267
   193,     3.243
   194,     3.221
   195,     3.190
   196,     3.166
   197,     3.143
   198,     3.112
   199,     3.089
   200,     3.066
   201,     3.043
   202,     3.011
   203,     2.996
   204,     2.966
   205,     2.942
   206,     2.911
   207,     2.895
   208,     2.880
   209,     2.856
   210,     2.841
   211,     2.818
   212,     2.795
   213,     2.771
   214,     2.756
   215,     2.732
   216,     2.717
   217,     2.694
   218,     2.679
   219,     2.663
   220,     2.640
   221,     2.624
   222,     2.609
   223,     2.593
   224,     2.570
   225,     2.555
   226,     2.532
   227,     2.524
   228,     2.508
   229,     2.493
   230,     2.477
   231,     2.461
   232,     2.446
   233,     2.438
   234,     2.422
   235,     2.400
   236,     2.392
   237,     2.377
   238,     2.361
   239,     2.353
   240,     2.338
   241,     2.322
   242,     2.322
   243,     2.314
   244,     2.291
   245,     2.283
   246,     2.276
   247,     2.268
   248,     2.268
   249,     2.245
   250,     2.245
   251,     2.229
   252,     2.222
   253,     2.214
   254,     2.206
   255,     2.198
   256,     2.183
   257,     2.175
   258,     2.175
   259,     2.159
   260,     2.167
   261,     2.151
   262,     2.151
   263,     2.151
   264,     2.136
   265,     2.144
   266,     2.129
   267,     2.129
   268,     2.129
   269,     2.121
   270,     2.113
   271,     2.105
   272,     2.113
   273,     2.105
   274,     2.105
   275,     2.090
   276,     2.105
   277,     2.113
   278,     2.136
   279,     2.151
   280,     2.159
   281,     2.151
   282,     2.151
   283,     2.151
   284,     2.144
   285,     2.151
   286,     2.144
   287,     2.144
   288,     2.144
   289,     2.151
   290,     2.159
   291,     2.159
   292,     2.159
   293,     2.151
   294,     2.144
   295,     2.151
   296,     2.151
   297,     2.144
   298,     2.151
   299,     2.144
   300,     2.151
   301,     2.151
   302,     2.144
   303,     2.151
   304,     2.151
   305,     2.151
   306,     2.151
   307,     2.159
   308,     2.167
   309,     2.159
   310,     2.183
   311,     2.175
   312,     2.175
   313,     2.183
   314,     2.167
   315,     2.183
   316,     2.183
   317,     2.183
   318,     2.183
   319,     2.190
   320,     2.198
   321,     2.198
   322,     2.198
   323,     2.214
   324,     2.214
   325,     2.214
   326,     2.214
   327,     2.222
   328,     2.214
   329,     2.214
   330,     2.222
   331,     2.222
   332,     2.222
   333,     2.222
   334,     2.222
   335,     2.214
   336,     2.214
   337,     2.206
   338,     2.214
   339,     2.214
   340,     2.214
   341,     2.206
   342,     2.206
   343,     2.198
   344,     2.198
   345,     2.190
   346,     2.198
   347,     2.198
   348,     2.198
   349,     2.198
   350,     2.198
   351,     2.206
   352,     2.198
   353,     2.206
   354,     2.206
   355,     2.214
   356,     2.222
   357,     2.222
